entity,tag,category,Tagged,tag_status
آدم,@AdamProphet,person,TRUE,FALSE
إسماعيل,@IsmaCilProphet,person,TRUE,FALSE
إبراهيم,@AbrahamProphet,person,TRUE,FALSE
موسى,@MosesProphet,person,TRUE,FALSE
عيسى,@JesusProphet,person,TRUE,FALSE
نوح,@NoahProphet,person,TRUE,FALSE
حواء,@Eve,person,TRUE,FALSE
ابراهيم,@AbrahamProphet,person,TRUE,FALSE
قابيل بن آدم,@Cain,person,TRUE,FALSE
هابيل,@Abel,person,TRUE,FALSE
شيثا,@Seth,person,TRUE,FALSE
شيث,@Seth,person,TRUE,FALSE
داود,@DavidProphet,person,TRUE,FALSE
خنوخ,@Enoch,person,TRUE,FALSE
يرد,@Jared,person,TRUE,FALSE
يارد,@Jared,person,TRUE,FALSE
لمك,@Lamech,person,TRUE,FALSE
سام,@Shem,person,TRUE,FALSE
لسام,@Shem,person,TRUE,FALSE
حام,@Ham,person,TRUE,FALSE
لجام,@Ham,person,TRUE,FALSE
يافث,@Japheth,person,TRUE,FALSE
جم الشيذ,@Jemshed,person,TRUE,FALSE
جم,@Jemshed,person,TRUE,FALSE
يوسف,@Joseph,person,TRUE,FALSE
سليمان,@Solomon,person,TRUE,FALSE
هود,@HudProphet,person,TRUE,FALSE
صالح,@SalihProphet,person,TRUE,FALSE
لوط,@LotProphet,person,TRUE,FALSE
لوطا,@LotProphet,person,TRUE,FALSE
سارة,@Sarah,person,TRUE,FALSE
اسماعيل,@IshmaCilProphet,person,TRUE,FALSE
إسحاق,@IsaacProphet,person,TRUE,FALSE
يعقوب,@JacobProphet,person,TRUE,FALSE
امرأة لوط,@WifeofLot,person,TRUE,FALSE
شعيب,@ShuCaybProphet,person,TRUE,FALSE
يوسف,@Joseph,person,TRUE,FALSE
بنيامين,@Benjamin,person,TRUE,FALSE
أيوب,@Job,person,TRUE,FALSE
الخضر,@Khidr,person,TRUE,FALSE
هارون,@Aaron,person,TRUE,FALSE
يوشع,@JoshuaProphet,person,TRUE,FALSE
كالب,@CalebIbnJepunneh,person,TRUE,FALSE
حزقيل,@EzekielProphet,person,TRUE,FALSE
هزقيل,@EzekielProphet,person,TRUE,FALSE
الياس,@ElijahProphet,person,TRUE,FALSE
إلياس بن ياسين,@ElijahProphet,person,TRUE,FALSE
إلياس,@ElijahProphet,person,TRUE,FALSE
اليسع,@Elisha,person,TRUE,FALSE
شمويل,@SamuelProphet,person,TRUE,FALSE
أشمويل,@SamuelProphet,person,TRUE,FALSE
طالوت,@Saul,person,TRUE,FALSE
زكرياء,@Zechariah,person,TRUE,FALSE
يحيى,@JohntheBaptist,person,TRUE,FALSE
شعيا,@Isaiah,person,TRUE,FALSE
إرميا,@JeremiahProphet,person,TRUE,FALSE
دانيال,@DanielProphet,person,TRUE,FALSE
يوسف,@Joseph,person,TRUE,FALSE
ابن هشام,@IbnHishamAuthor,person,TRUE,FALSE
معد,@MaCd,person,TRUE,FALSE
عدنان,@Cadnan,person,TRUE,FALSE
عك,@Cak,person,TRUE,FALSE
قضاعة,@QudaCa,person,TRUE,FALSE
قنص بن معد,@QunusIbnMaCd,person,TRUE,FALSE
النعمان بن المنذر,@NuCmanIbnMundhir,person,TRUE,FALSE
النعمان,@NuCmanIbnMundhir,person,TRUE,FALSE
لخم بن عدي,@LakhmIbnCadi,person,TRUE,FALSE
عمرو بن عامر,@CamrIbnCamir,person,TRUE,FALSE
ربيعة بن نصر,@RabiCIbnNasr,person,TRUE,FALSE
سطيح,@SatihSoothsayer,person,TRUE,FALSE
أبرهة,@Abraha,person,TRUE,FALSE
شق,@ShiqqSoothsayer,person,TRUE,FALSE
بجيلة,@Bajila,person,TRUE,FALSE
تبان,@Tiban,person,TRUE,FALSE
عمرو بن طلة,@CAmrIbnTalla,person,TRUE,FALSE
حسان بن تبان,@HassanIbnTiban,person,TRUE,FALSE
عمرو,@CAmrIbnTiban,person,TRUE,FALSE
ذي نواس,@DhuNuwas,person,TRUE,FALSE
ذي شناتر,@DhuShanatir,person,TRUE,FALSE
عبد الله بن الثامر,@CabdallahIbnalThamir,person,TRUE,FALSE
ابن الثامر,@CabdallahIbnalThamir,person,TRUE,FALSE
قيصر,@EmperorRome,person,TRUE,FALSE
أرياط,@Aryat,person,TRUE,FALSE
النجاشي,@Negus,person,TRUE,FALSE
نفيل,@NufaylIbnHabib,person,TRUE,FALSE
عبد المطلب,@AbdalMuttalib,person,TRUE,FALSE
حناطة,@Hunata,person,TRUE,FALSE
ذو نفر,@DhuNafr,person,TRUE,FALSE
أنيس,@Unays,person,TRUE,FALSE
خويلد,@KhuwaylidIbnWathila,person,TRUE,FALSE
الأسود بن مقصود,@al-AswadIbnMafsud,person,TRUE,FALSE
سيف بن ذي يزن,@SayfIbnDhuYazan,person,TRUE,FALSE
ابن ذي يزن,@SayfIbnDhuYazan,person,TRUE,FALSE
وهرز,@Wahriz,person,TRUE,FALSE
كسرى,@ChosroesShah,person,TRUE,FALSE
نزار بن معد,@NizarIbnMaCd,person,TRUE,FALSE
مضر,@Mudar,person,TRUE,FALSE
أنمار,@Anmar,person,TRUE,FALSE
إلياس,@Ilyas,person,TRUE,FALSE
عمرو بن لحي,@CamrIbnLuhayy,person,TRUE,FALSE
عبد مناف,@AbdManaf,person,TRUE,FALSE
هاشم,@Hashim,person,TRUE,FALSE
عوف بن لؤي,@CaufIbnLuay,person,TRUE,FALSE
قصي بن كلاب,@QusayyIbnKilab,person,TRUE,FALSE
عبد شمس,@AbdShams,person,TRUE,FALSE
عبد الله بن عبد المطلب,@AbdAllahIbnMutallib,person,TRUE,FALSE
حليمة,@Halima,person,TRUE,FALSE
آمنة,@AminaMotherProphet,person,TRUE,FALSE
العباس,@CabbasIbnCabdMutallib,person,TRUE,FALSE
أبي طالب,@AbuTalib,person,TRUE,FALSE
أبو طالب,@AbuTalib,person,TRUE,FALSE
بحيرى,@BahiraMonk,person,TRUE,FALSE
خديجة,@KhadijaWife,person,TRUE,FALSE
جبريل,@GabrielAngel,person,TRUE,FALSE
علي بن أبي طالب,@CaliIbnAbiTalib,person,TRUE,FALSE
علي,@CaliIbnAbiTalib,person,TRUE,FALSE
أبي بكر,@AbuBakr,person,TRUE,FALSE
أبو بكر,@AbuBakr,person,TRUE,FALSE
عثمان,@CuthmanIbnAffan,person,TRUE,FALSE
الزبير ,@ZubayrIbnAwwam,person,TRUE,FALSE
طلحة,@TalhaIbnUbayullah,person,TRUE,FALSE
الوليد بن المغيرة,@WalidIbnMughira,person,TRUE,FALSE
حمزة,@HamzaIbnCabdMutallib,person,TRUE,FALSE
أبي جهل,@AbuJahl,person,TRUE,FALSE
أبو جهل,@AbuJahl,person,TRUE,FALSE
عتبة بن ربيعة,@CutbaIbnRabiCa,person,TRUE,FALSE
أبو سفيان,@AbuSufyan,person,TRUE,FALSE
أبي سفيان,@AbuSufyan,person,TRUE,FALSE
الأخنس,@AkhnasIbnShariq,person,TRUE,FALSE
بلال,@Bilal,person,TRUE,FALSE
ابن عباس,@CabdAllahIbnCabbas,person,TRUE,FALSE
عمر بن الخطاب,@CumarIbnKhattab,person,TRUE,FALSE
عمر,@CumarIbnKhattab,person,TRUE,FALSE
أسعد بن زرارة,@AsaCdIbnZurara,person,TRUE,FALSE
ذي القرنين,@DhuQarnayn,person,TRUE,FALSE
ذو القرنين,@DhuQarnayn,person,TRUE,FALSE
ذا القرنين,@DhuQarnayn,person,TRUE,FALSE
زكريا,@ZakariaProphet,person,TRUE,FALSE
مريم,@Maryam,person,TRUE,FALSE
عامر,@Camir,person,TRUE,FALSE
عائشة,@CaishaProphetWife,person,TRUE,FALSE
عبيدة بن الحارث,@UbaydaIbnHarith,person,TRUE,FALSE
أبي سفيان,@AbuSufyan,person,TRUE,FALSE
أبو سفيان,@AbuSufyan,person,TRUE,FALSE
سهيل بن عمرو,@SuhaylIbnCamr,person,TRUE,FALSE
أبي العاص بن الربيع,@AbuCasIbnRabiCa,person,TRUE,FALSE
أبو العاص بن الربيع,@AbuCasIbnRabiCa,person,TRUE,FALSE
أبي العاص,@AbuCasIbnRabiCa,person,TRUE,FALSE
أبو العاص,@AbuCasIbnRabiCa,person,TRUE,FALSE
زينب,@ZaynabBintMuhammad,person,TRUE,FALSE
زيد بن حارثة,@ZaydIbnHaritha,person,TRUE,FALSE
هند,@Hind,person,TRUE,FALSE
عمرو بن العاص ,@CamrIbnCas,person,TRUE,FALSE
خالد بن الوليد,@KhalidIbnWalid,person,TRUE,FALSE
أبي جندل,@AbuJandal,person,TRUE,FALSE
أبو جندل,@AbuJandal,person,TRUE,FALSE
عبد الله بن أمية,@AbdullahIbnUmayya,person,TRUE,FALSE
مسيلمة,@Musaylima,person,TRUE,FALSE
هاجر,@Hajar,person,TRUE,FALSE
خندف,@Khindif,person,TRUE,FALSE
قصي بن كلاب,@QusayyIbnKilab,person,TRUE,FALSE
قصي,@QusayyIbnKilab,person,TRUE,FALSE
عبد الله,@CabdAllahIbnMutallib,person,TRUE,FALSE
عبد الله بن عبد المطلب,@CabdAllahIbnMutallib,person,TRUE,FALSE
أبا طالب,@AbuTalib,person,TRUE,FALSE
أبا بكر,@AbuBakr,person,TRUE,FALSE
عتبة,@CutbaIbnRabiCa,person,TRUE,FALSE
أبا جهل,@AbuJahl,person,TRUE,FALSE
ملوك الروم,@EmperorRome,person,TRUE,FALSE
للعباس,@CabbasIbnCabdMutallib,person,TRUE,FALSE
عمرو,@CamrIbnCas,person,TRUE,FALSE
خالد,@KhalidIbnWalid,person,TRUE,FALSE
سودة,@SawdaWife,person,TRUE,FALSE
زينب بنت جحش,@ZaynadBintJahshWife,person,TRUE,FALSE
أم سلمة,@UmSalamaWife,person,TRUE,FALSE
حفصة,@HafsaWife,person,TRUE,FALSE
أم حبيبة,@UmHabibaWife,person,TRUE,FALSE
جويرية,@JuwayriyaWife,person,TRUE,FALSE
صفية,@SafiyyaWife,person,TRUE,FALSE
ميمونة,@MaymunaWife,person,TRUE,FALSE
زينب بنت خزيمة,@ZaynadBintKhuzaymaWife,person,TRUE,FALSE
جيومرت,@Jayumart,person,TRUE,FALSE
يزدجرد بن شهريار,@YazdjardIbnShahriyar,person,TRUE,FALSE
عبد الحارث,@AbdHarith,person,TRUE,FALSE
أوشهنج,@Oshahanj,person,TRUE,FALSE
مهلائيل,@Mahalel,person,TRUE,FALSE
بيوراسب,@BewarasbDahhak,person,TRUE,FALSE
الازدهاق,@BewarasbDahhak,person,TRUE,FALSE
الضحاك,@BewarasbDahhak,person,TRUE,FALSE
طهمورث,@Tahmurath,person,TRUE,FALSE
متوشلخ,@Methuselah,person,TRUE,FALSE
الإسكندر,@Alexander,person,TRUE,FALSE
نمرود,@Nimrod,person,TRUE,FALSE
أفريدون,@Afaridhun,person,TRUE,FALSE
معاوية بن بكر,@MuaCwiyaIbnBakr,person,TRUE,FALSE
بختنصر,@Nebuchadnezzar,person,TRUE,FALSE
منوشهر,@Manushihr,person,TRUE,FALSE
امرؤ القيس,@ImruQays,person,TRUE,FALSE
قابوس,@QabusPharoah,person,TRUE,FALSE
السامري,@Samiri,person,TRUE,FALSE
قارون,@KorahIbnIzharIbnKohath,person,TRUE,FALSE
زو,@Zaw,person,TRUE,FALSE
كيقباذ,@Kayqubadh,person,TRUE,FALSE
جالوت,@Goliath,person,TRUE,FALSE
بلقيس,@Bilqis,person,TRUE,FALSE
كيقاوس,@Kayqawus,person,TRUE,FALSE
فراسياب,@Frasiyat,person,TRUE,FALSE
كيخسرو,@Kaykhusraw,person,TRUE,FALSE
أسا بن أبيا,@AsaIbnAbija,person,TRUE,FALSE
زرح,@Zerah,person,TRUE,FALSE
سنحاريب,@Sennacherib,person,TRUE,FALSE
لهراسب,@Luhrasb,person,TRUE,FALSE
بشتاسب,@Bishtasb,person,TRUE,FALSE
داريوش,@Darius,person,TRUE,FALSE
زرادشت,@Zoroaster,person,TRUE,FALSE
برخيا,@BerechiahProphet,person,TRUE,FALSE
بهمن,@BahmanIbnIsfandiyar,person,TRUE,FALSE
أردشير بهمن,@ArdashirBahman,person,TRUE,FALSE
ساسان,@Sasan,person,TRUE,FALSE
دارا الأكبر,@Darius,person,TRUE,FALSE
كيرش,@Cyrus,person,TRUE,FALSE
دارا الأصغر,@DariusYounger,person,TRUE,FALSE
قسطنطين,@ConstantineEmperor,person,TRUE,FALSE
هيردوس,@Herod,person,TRUE,FALSE
أردشير بن بابك,@ArdashirIbnBabik,person,TRUE,FALSE
عمرو بن ظرب,@CAmrIbnZarib,person,TRUE,FALSE
الزباء,@Zabba,person,TRUE,FALSE
طسم,@Tasm,person,TRUE,FALSE
جديس,@Jadis,person,TRUE,FALSE
إبليس,@IblisSatan,person,TRUE,FALSE
الشياطين,@IblisSatan,person,TRUE,FALSE
شيطانا,@IblisSatan,person,TRUE,FALSE
شيطان,@IblisSatan,person,TRUE,FALSE
جبرئيل,@GabrielAngel,person,TRUE,FALSE
ميكائيل,@MichaelAngel,person,TRUE,FALSE
ملك الموت,@AngelofDeath,person,TRUE,FALSE
خزاعة,@BanuKhuzaCa,group,TRUE,FALSE
كنانة,@BanuKinana,group,TRUE,FALSE
قريش,@Quraysh,group,TRUE,FALSE
بني هاشم,@BanuHashim,group,TRUE,FALSE
بنو هاشم,@BanuHashim,group,TRUE,FALSE
بني أمية,@BanuUmayya,group,TRUE,FALSE
بنو أمية,@BanuUmayya,group,TRUE,FALSE
بني أسد,@BanuAsad,group,TRUE,FALSE
بنو أسد,@BanuAsad,group,TRUE,FALSE
بنو عبد شمس,@BanuCabdShams,group,TRUE,FALSE
بني عبد شمس,@BanuCabdShams,group,TRUE,FALSE
بني نوفل,@BanuNaufal,group,TRUE,FALSE
بنو نوفل,@BanuNaufal,group,TRUE,FALSE
بني عبد بن قصي,@BanuCabdIbnQusayy,group,TRUE,FALSE
بنو عبد بن قصي,@BanuCabdIbnQusayy,group,TRUE,FALSE
بني عبد الدار بن قصي,@BanuCabdDarIbnQusayy,group,TRUE,FALSE
بنو عبد الدار بن قصي,@BanuCabdDarIbnQusayy,group,TRUE,FALSE
بني عبد الدار,@BanuCabdDarIbnQusayy,group,TRUE,FALSE
بنو عبد الدار,@BanuCabdDarIbnQusayy,group,TRUE,FALSE
بني زهرة,@BanuZuhra,group,TRUE,FALSE
بنو زهرة,@BanuZuhra,group,TRUE,FALSE
 بني هذيل,@BanuHudayl,group,TRUE,FALSE
 بنو هذيل,@BanuHudayl,group,TRUE,FALSE
بني تيم,@BanuTaym,group,TRUE,FALSE
بنو تيم,@BanuTaym,group,TRUE,FALSE
بني مخزوم,@BanuMakhzum,group,TRUE,FALSE
بنو مخزوم,@BanuMakhzum,group,TRUE,FALSE
بني جمح,@BanuJumah,group,TRUE,FALSE
بنو جمح,@BanuJumah,group,TRUE,FALSE
بني سهم,@BanuSahm,group,TRUE,FALSE
بنو سهم,@BanuSahm,group,TRUE,FALSE
سهم,@BanuSahm,group,TRUE,FALSE
بني عدي,@BanuCadiyy,group,TRUE,FALSE
بنو عدي,@BanuCadiyy,group,TRUE,FALSE
بني عامر,@BanuCamir,group,TRUE,FALSE
بنو عامر,@BanuCamir,group,TRUE,FALSE
بني الحارث,@BanuHarith,group,TRUE,FALSE
بنو الحارث,@BanuHarith,group,TRUE,FALSE
ثقيف,@BanuThaqif,group,TRUE,FALSE
بني كلب,@BanuKalb,group,TRUE,FALSE
بنو كلب,@BanuKalb,group,TRUE,FALSE
بني حنيفة,@BanuHanifa,group,TRUE,FALSE
بنو حنيفة,@BanuHanifa,group,TRUE,FALSE
بني النجار,@BanuNajjar,group,TRUE,FALSE
بنو النجار,@BanuNajjar,group,TRUE,FALSE
بني زريق,@BanuZurayq,group,TRUE,FALSE
بنو زريق,@BanuZurayq,group,TRUE,FALSE
بني عوف,@BanuCauf,group,TRUE,FALSE
بنو عوف,@BanuCauf,group,TRUE,FALSE
بني سالم,@BanuSalim,group,TRUE,FALSE
بنو سالم,@BanuSalim,group,TRUE,FALSE
بني سلمة,@BanuSalima,group,TRUE,FALSE
بنو سلمة,@BanuSalima,group,TRUE,FALSE
بني سواد,@BanuSawad,group,TRUE,FALSE
بنو سواد,@BanuSawad,group,TRUE,FALSE
الأوس,@BanuAus,group,TRUE,FALSE
الأوس,@BanuAus,group,TRUE,FALSE
بني عمرو,@BanuCamr,group,TRUE,FALSE
بنو عمرو,@BanuCamr,group,TRUE,FALSE
بني عبد الأشهل,@BanuCabdAshhal,group,TRUE,FALSE
بنو عبد الأشهل,@BanuCabdAshhal,group,TRUE,FALSE
بني حارثة بن الحارث,@BanuHarithIbnHarith,group,TRUE,FALSE
بنو حارثة بن الحارث,@BanuHarithIbnHarith,group,TRUE,FALSE
بني  عمرو بن عوف,@BanuCamrIbnCauf,group,TRUE,FALSE
بنو  عمرو بن عوف,@BanuCamrIbnCauf,group,TRUE,FALSE
بني عمرو بن مبذول,@BanuCamrIbnMabdhul,group,TRUE,FALSE
بنو عمرو بن مبذول,@BanuCamrIbnMabdhul,group,TRUE,FALSE
 بني عمرو بن مالك,@BanuCamrIbnMalik,group,TRUE,FALSE
 بنو عمرو بن مالك,@BanuCamrIbnMalik,group,TRUE,FALSE
بني مازن بن النجار,@BanuMazimIbnNajjar,group,TRUE,FALSE
بنو مازن بن النجار,@BanuMazimIbnNajjar,group,TRUE,FALSE
بني بياضة ,@BanuBayadaIbnCamir,group,TRUE,FALSE
بنو بياضة,@BanuBayadaIbnCamir,group,TRUE,FALSE
بني زريق,@BanuZurayq,group,TRUE,FALSE
بنو زريق,@BanuZurayq,group,TRUE,FALSE
بني غنم بن سواد,@BanuGhanamIbnSawad,group,TRUE,FALSE
بنو غنم بن سواد,@BanuGhanamIbnSawad,group,TRUE,FALSE
بني نابي بن عمرو,@BanuNabiIbnCamr,group,TRUE,FALSE
بنو نابي بن عمرو,@BanuNabiIbnCamr,group,TRUE,FALSE
بني حرام بن كعب,@BanuHaramIbnKaCb,group,TRUE,FALSE
بنو حرام بن كعب,@BanuHaramIbnKaCb,group,TRUE,FALSE
بني عوف بن الخزرج,@BanuCaufIbnKhazraj,group,TRUE,FALSE
بنو عوف بن الخزرج,@BanuCaufIbnKhazraj,group,TRUE,FALSE
بني ساعدة,@BanuSaCidaIbnKaCb,group,TRUE,FALSE
بنو ساعدة,@BanuSaCidaIbnKaCb,group,TRUE,FALSE
بني مازن بن النجار,@BanuMazinIbnNajjar,group,TRUE,FALSE
بنو مازن بن النجار,@BanuMazinIbnNajjar,group,TRUE,FALSE
بني سالم بن غنم,@BanuSalimIbnGhanm,group,TRUE,FALSE
بنو سالم بن غنم,@BanuSalimIbnGhanm,group,TRUE,FALSE
الخزرج بن حارثة,@BanuKhazrajIbnHaritha,group,TRUE,FALSE
بلحارث بن الخزرج,@BanuHarithIbnKhazraj,group,TRUE,FALSE
بني سلمة بن سعد,@BanuSalamaIbnSacd,group,TRUE,FALSE
بنو سلمة بن سعد,@BanuSalamaIbnSacd,group,TRUE,FALSE
بني سواد بن غنم,@BanuSawadIbnGhanm,group,TRUE,FALSE
بنو سواد بن غنم,@BanuSawadIbnGhanm,group,TRUE,FALSE
بني النضير,@BanuNadir,group,TRUE,FALSE
بنو النضير,@BanuNadir,group,TRUE,FALSE
بني ثعلبة,@BanuThaClaba,group,TRUE,FALSE
بنو ثعلبة,@BanuThaClaba,group,TRUE,FALSE
بني قينقاع,@BanuQaynuqaC,group,TRUE,FALSE
