entity,tag,category,subcategory
صفر,@SafarMonth,time,month
سنة ثلاث,@Year3,time,year
سنة أربع,@Year4,time,year
شعبان,@ShaCbanMonth,time,month
ربيع الأول,@RabiCAwwalMonth,time,month
سنة خمس,@Year5,time,year
شوال,@ShawwalMonth,time,month
سنة ست,@Year6,time,year
المحرم ,@MuharramMonth,time,month
سنة سبع,@Year7,time,year
ذي القعدة,@DhuQaCdaMonth,time,month
ذو القعدة,@DhuQaCdaMonth,time,month
سنة ثمان,@Year8,time,year
جمادى الأولى,@JumadaAwwalMonth,time,month
رمضان,@RamadanMonth,time,month
رجب,@RajabMonth,time,month
سنة تسع,@Year9,time,year
ربيع الآخر,@RabiCAkharlMonth,time,month
ربيع الثاني,@RabiCAkharlMonth,time,month
جمادى الآخرة,@JumadaAkharMonth,time,month
جمادى الثانية,@JumadaAkharMonth,time,month
ذي الحجة,@DhuHijjaMonth,time,month
ذو الحجة,@DhuHijjaMonth,time,month
سنة ثماني,@Year8,time,year
خزاعة,@BanuKhuzaCa,group,tribes
كنانة,@BanuKinana,group,tribes
قريش,@Quraysh,group,tribes
بني هاشم,@BanuHashim,group,tribes
بنو هاشم,@BanuHashim,group,tribes
بني أمية,@BanuUmayya,group,tribes
بنو أمية,@BanuUmayya,group,tribes
بني أسد,@BanuAsad,group,tribes
بنو أسد,@BanuAsad,group,tribes
بنو عبد شمس,@BanuCabdShams,group,tribes
بني عبد شمس,@BanuCabdShams,group,tribes
بني نوفل,@BanuNaufal,group,tribes
بنو نوفل,@BanuNaufal,group,tribes
بني عبد بن قصي,@BanuCabdIbnQusayy,group,tribes
بنو عبد بن قصي,@BanuCabdIbnQusayy,group,tribes
بني عبد الدار بن قصي,@BanuCabdDarIbnQusayy,group,tribes
بنو عبد الدار بن قصي,@BanuCabdDarIbnQusayy,group,tribes
بني عبد الدار,@BanuCabdDarIbnQusayy,group,tribes
بنو عبد الدار,@BanuCabdDarIbnQusayy,group,tribes
بني زهرة,@BanuZuhra,group,tribes
بنو زهرة,@BanuZuhra,group,tribes
 بني هذيل,@BanuHudayl,group,tribes
 بنو هذيل,@BanuHudayl,group,tribes
بني تيم,@BanuTaym,group,tribes
بنو تيم,@BanuTaym,group,tribes
بني مخزوم,@BanuMakhzum,group,tribes
بنو مخزوم,@BanuMakhzum,group,tribes
بني جمح,@BanuJumah,group,tribes
بنو جمح,@BanuJumah,group,tribes
بني سهم,@BanuSahm,group,tribes
بنو سهم,@BanuSahm,group,tribes
سهم,@BanuSahm,group,tribes
بني عدي,@BanuCadiyy,group,tribes
بنو عدي,@BanuCadiyy,group,tribes
بني عامر,@BanuCamir,group,tribes
بنو عامر,@BanuCamir,group,tribes
بني الحارث,@BanuHarith,group,tribes
بنو الحارث,@BanuHarith,group,tribes
ثقيف,@BanuThaqif,group,tribes
بني كلب,@BanuKalb,group,tribes
بنو كلب,@BanuKalb,group,tribes
بني حنيفة,@BanuHanifa,group,tribes
بنو حنيفة,@BanuHanifa,group,tribes
بني النجار,@BanuNajjar,group,tribes
بنو النجار,@BanuNajjar,group,tribes
بني زريق,@BanuZurayq,group,tribes
بنو زريق,@BanuZurayq,group,tribes
بني عوف,@BanuCauf,group,tribes
بنو عوف,@BanuCauf,group,tribes
بني سالم,@BanuSalim,group,tribes
بنو سالم,@BanuSalim,group,tribes
بني سلمة,@BanuSalima,group,tribes
بنو سلمة,@BanuSalima,group,tribes
بني سواد,@BanuSawad,group,tribes
بنو سواد,@BanuSawad,group,tribes
الأوس,@BanuAus,group,tribes
الأوس,@BanuAus,group,tribes
بني عمرو,@BanuCamr,group,tribes
بنو عمرو,@BanuCamr,group,tribes
بني عبد الأشهل,@BanuCabdAshhal,group,tribes
بنو عبد الأشهل,@BanuCabdAshhal,group,tribes
بني حارثة بن الحارث,@BanuHarithIbnHarith,group,tribes
بنو حارثة بن الحارث,@BanuHarithIbnHarith,group,tribes
بني  عمرو بن عوف,@BanuCamrIbnCauf,group,tribes
بنو  عمرو بن عوف,@BanuCamrIbnCauf,group,tribes
بني عمرو بن مبذول,@BanuCamrIbnMabdhul,group,tribes
بنو عمرو بن مبذول,@BanuCamrIbnMabdhul,group,tribes
 بني عمرو بن مالك,@BanuCamrIbnMalik,group,tribes
 بنو عمرو بن مالك,@BanuCamrIbnMalik,group,tribes
بني مازن بن النجار,@BanuMazimIbnNajjar,group,tribes
بنو مازن بن النجار,@BanuMazimIbnNajjar,group,tribes
بني بياضة ,@BanuBayadaIbnCamir,group,tribes
بنو بياضة,@BanuBayadaIbnCamir,group,tribes
بني زريق,@BanuZurayq,group,tribes
بنو زريق,@BanuZurayq,group,tribes
بني غنم بن سواد,@BanuGhanamIbnSawad,group,tribes
بنو غنم بن سواد,@BanuGhanamIbnSawad,group,tribes
بني نابي بن عمرو,@BanuNabiIbnCamr,group,tribes
بنو نابي بن عمرو,@BanuNabiIbnCamr,group,tribes
بني حرام بن كعب,@BanuHaramIbnKaCb,group,tribes
بنو حرام بن كعب,@BanuHaramIbnKaCb,group,tribes
بني عوف بن الخزرج,@BanuCaufIbnKhazraj,group,tribes
بنو عوف بن الخزرج,@BanuCaufIbnKhazraj,group,tribes
بني ساعدة,@BanuSaCidaIbnKaCb,group,tribes
بنو ساعدة,@BanuSaCidaIbnKaCb,group,tribes
بني مازن بن النجار,@BanuMazinIbnNajjar,group,tribes
بنو مازن بن النجار,@BanuMazinIbnNajjar,group,tribes
بني سالم بن غنم,@BanuSalimIbnGhanm,group,tribes
بنو سالم بن غنم,@BanuSalimIbnGhanm,group,tribes
الخزرج بن حارثة,@BanuKhazrajIbnHaritha,group,tribes
بلحارث بن الخزرج,@BanuHarithIbnKhazraj,group,tribes
بني سلمة بن سعد,@BanuSalamaIbnSacd,group,tribes
بنو سلمة بن سعد,@BanuSalamaIbnSacd,group,tribes
بني سواد بن غنم,@BanuSawadIbnGhanm,group,tribes
بنو سواد بن غنم,@BanuSawadIbnGhanm,group,tribes
بني النضير,@BanuNadir,group,tribes
بنو النضير,@BanuNadir,group,tribes
بني ثعلبة,@BanuThaClaba,group,tribes
بنو ثعلبة,@BanuThaClaba,group,tribes
بني قينقاع,@BanuQaynuqaC,group,tribes
بنو قينقاع,@BanuQaynuqaC,group,tribes
بني قريظة,@BanuQurayza,group,tribes
بنو قريظة,@BanuQurayza,group,tribes
بني زريق,@BanuZurayq,group,tribes
بنو زريق,@BanuZurayq,group,tribes
بني حارثة,@BanuHaritha,group,tribes
بنو حارثة,@BanuHaritha,group,tribes
 بنى حبيب,@BanuHubayb,group,tribes
 بنو حبيب,@BanuHubayb,group,tribes
بني ضبيعة,@BanuDubayCa,group,tribes
بنو ضبيعة,@BanuDubayCa,group,tribes
بني لوذان,@BanuLaudhan,group,tribes
بنو لوذان,@BanuLaudhan,group,tribes
بني عبيد,@BanuCubayd,group,tribes
بنو عبيد,@BanuCubayd,group,tribes
بني النبيت,@BanuNabit,group,tribes
بنو النبيت,@BanuNabit,group,tribes
بني ظفر,@BanuZafar,group,tribes
بنو ظفر,@BanuZafar,group,tribes
بني عبد الأشهل,@BanuCabdAshhal,group,tribes
بنو عبد الأشهل,@BanuCabdAshhal,group,tribes
بني جشم,@BanuJusham,group,tribes
بنو جشم,@BanuJusham,group,tribes
بني ضمرة,@BanuDamra,group,tribes
بنو ضمرة,@BanuDamra,group,tribes
بني كبير,@BanuKabir,group,tribes
بنو كبير,@BanuKabir,group,tribes
بني عبيد بن كعب,@BanuCubaydIbnKaCb,group,tribes
بنو عبيد بن كعب,@BanuCubaydIbnKaCb,group,tribes
بني عبد بن رزاح,@BanuCabdIbnRizah,group,tribes
بنو عبد بن رزاح,@BanuCabdIbnRizah,group,tribes
بني جحجبى,@BanuJahjaba,group,tribes
بنو جحجبى,@BanuJahjaba,group,tribes
بني غنم,@BanuGhanm,group,tribes
بنو غنم,@BanuGhanm,group,tribes
بني معاوية,@BanuMuCawiya,group,tribes
بنو معاوية,@BanuMuCawiya,group,tribes
بني امرئ القيس,@BanuImruQays,group,tribes
بنو امرئ القيس,@BanuImruQays,group,tribes
بني زيد,@BanuZayd,group,tribes
بنو زيد,@BanuZayd,group,tribes
بني أحمر,@BanuAhmar,group,tribes
بنو أحمر,@BanuAhmar,group,tribes
بني جشم,@BanuJusham,group,tribes
بنو جشم,@BanuJusham,group,tribes
بني جدارة,@BanuJidara,group,tribes
بنو جدارة,@BanuJidara,group,tribes
بني الأبجر,@BanuAbjar,group,tribes
بنو الأبجر,@BanuAbjar,group,tribes
بني جزء,@BanuJaz,group,tribes
بنو جزء,@BanuJaz,group,tribes
بني أصرم,@BanuAsram,group,tribes
بنو أصرم,@BanuAsram,group,tribes
بني دعد,@BanuDaCd,group,tribes
بنو دعد,@BanuDaCd,group,tribes
بني البدي,@BanuBadiy,group,tribes
بنو البدي,@BanuBadiy,group,tribes
 بني طريف,@BanuTarif,group,tribes
 بنو طريف,@BanuTarif,group,tribes
بني النعمان,@BanuNuCman,group,tribes
بنو النعمان,@BanuNuCman,group,tribes
بني عدي بن نابي,@BanuCadiyIbnNabi,group,tribes
بنو عدي بن نابي,@BanuCadiyIbnNabi,group,tribes
بني خالد,@BanuKhalid,group,tribes
بنو خالد,@BanuKhalid,group,tribes
بني خلدة,@BanuKhalada,group,tribes
بنو خلدة,@BanuKhalada,group,tribes
بني العجلان,@BanuCajlan,group,tribes
بنو العجلان,@BanuCajlan,group,tribes
بني عسيرة,@BanuCusayra,group,tribes
بنو عسيرة,@BanuCusayra,group,tribes
بني عبيد بن ثعلبة,@BanuCubaydIbnThaClaba,group,tribes
بنو عبيد بن ثعلبة,@BanuCubaydIbnThaClaba,group,tribes
بني عائذ,@BanuCaidh,group,tribes
بنو عائذ,@BanuCaidh,group,tribes
بني عامر بن مالك,@BanuCamirIbnMalik,group,tribes
بنو عامر بن مالك,@BanuCamirIbnMalik,group,tribes
بني عدي بن عمرو,@BanuCadiyIbnCamr,group,tribes
بنو عدي بن عمرو,@BanuCadiyIbnCamr,group,tribes
بني عدي بن النجار,@BanuCadiyIbnNajjar,group,tribes
بنو عدي بن النجار,@BanuCadiyIbnNajjar,group,tribes
بني حرام بن جندب,@BanuHaramIbnJundub,group,tribes
بنو حرام بن جندب,@BanuHaramIbnJundub,group,tribes
بني خنساء بن مبذول,@BanuKhansaIbnMabdhul,group,tribes
بنو خنساء بن مبذول,@BanuKhansaIbnMabdhul,group,tribes
بني ثعلبة بن مازن,@BanuThaClabaIbnMazin,group,tribes
بنو ثعلبة بن مازن,@BanuThaClabaIbnMazin,group,tribes
 بني دينار,@BanuDinarIbnNajjar,group,tribes
 بنو دينار,@BanuDinarIbnNajjar,group,tribes
بني الحارث بن فهر,@BanuHarithIbnFihr,group,tribes
بنو الحارث بن فهر,@BanuHarithIbnFihr,group,tribes
بني الحارث بن الخزرج,@BanuHarithIbnKhazraj,group,tribes
بنو الحارث بن الخزرج,@BanuHarithIbnKhazraj,group,tribes
بني تميم بن مرة,@BanuTaymIbnMurra,group,tribes
بني سليم,@BanuSulaym,group,tribes
بنو سليم,@BanuSulaym,group,tribes
راتج,@AhlRatij,group,tribes
بني مبذول,@BanuMabdhul,group,tribes
بنو مبذول,@BanuMabdhul,group,tribes
بني مازن,@BanuMazin,group,tribes
بنو مازن,@BanuMazin,group,tribes
بني الحبلى,@BanuHubla,group,tribes
بنو الحبلى,@BanuHubla,group,tribes
بني خطمة,@BanuKhutma,group,tribes
بنو خطمة,@BanuKhutma,group,tribes
غطفان,@BanuGhatafan,group,tribes
بني هدل,@BanuHadl,group,tribes
بنو هدل,@BanuHadl,group,tribes
بني لحيان,@BanuLihyan,group,tribes
بنو لحيان,@BanuLihyan,group,tribes
بني المصطلق,@BanuMustaliq,group,tribes
بنو المصطلق,@BanuMustaliq,group,tribes
بكر,@BanuBakr,group,tribes
بني جذيمة,@BanuJadhima,group,tribes
بنو جذيمة,@BanuJadhima,group,tribes
قضاعة,@BanuQudaCa,group,tribes
بني سعد,@BanuSaCd,group,tribes
بنو سعد,@BanuSaCd,group,tribes
بني عبد مناف,@BanuCabdManaf,group,tribes
بنو عبد مناف,@BanuCabdManaf,group,tribes
الخزرج,@BanuKhazraj,group,tribes
بني قيس بن ثعلبة,@BanuQaysIbnThaCliba,group,tribes
بنو قيس بن ثعلبة,@BanuQaysIbnThaCliba,group,tribes
مخزوم,@BanuMakhzum,group,tribes
بني عمرو بن عوف,@BanuCamrIbnCauf,group,tribes
بنو عمرو بن عوف,@BanuCamrIbnCauf,group,tribes
بني جحش,@BanuJahsh,group,tribes
بنو جحش,@BanuJahsh,group,tribes
بني عمرو,@BanuCamrIbnCauf,group,tribes
بنو عمرو,@BanuCamrIbnCauf,group,tribes
بني عوف,@BanuCaufIbnKhazraj,group,tribes
بنو عوف,@BanuCaufIbnKhazraj,group,tribes
بني امرئ القيس,@BanuImruQays,group,tribes
بنو امرئ القيس,@BanuImruQays,group,tribes
بني خناس,@BanuKhunas,group,tribes
بنو خناس,@BanuKhunas,group,tribes
بني حبيب,@BanuHabib,group,tribes
بنو حبيب,@BanuHabib,group,tribes
بني عبد الدار,@BanuCabdDar,group,tribes
بنو عبد الدار,@BanuCabdDar,group,tribes
بني عامر,@BanuCamirIbnLuayy,group,tribes
بنو عامر,@BanuCamirIbnLuayy,group,tribes
بني المطلب,@BanuMuttalib,group,tribes
بنو المطلب,@BanuMuttalib,group,tribes
بني السلم,@BanuSalm,group,tribes
بنو السلم,@BanuSalm,group,tribes
بني عوف,@BanuCaufIbnKhazraj,group,tribes
بنو عوف,@BanuCaufIbnKhazraj,group,tribes
بني الخزرج,@BanuKhazraj,group,tribes
بنو الخزرج,@BanuKhazraj,group,tribes
بني الحارث,@BanuHarithIbnFihr,group,tribes
بنو الحارث,@BanuHarithIbnFihr,group,tribes
بني مالك,@BanuMalik,group,tribes
بنو مالك,@BanuMalik,group,tribes
بني رئاب,@BanuRaab,group,tribes
بنو رئاب,@BanuRaab,group,tribes
هوازن,@Hawazin,group,tribes
بني تميم,@BanuTaym,group,tribes
بنو تميم,@BanuTaym,group,tribes
بني زبيد,@BanuZubayd,group,tribes
بنو زبيد,@BanuZubayd,group,tribes
كندة,@BanuKinda,group,tribes
أهل جرش,@JurashPeople,group,tribes
بني الحارث بن كعب,@BanuHarithIbnKaCb,group,tribes
بنو الحارث بن كعب,@BanuHarithIbnKaCb,group,tribes
بني الملوح,@BanuMulawwah,group,tribes
بنو الملوح,@BanuMulawwah,group,tribes
بني فزارة,@BanuFazara,group,tribes
بنو فزارة,@BanuFazara,group,tribes
بني العنبر,@BanuACnbar,group,tribes
بنو العنبر,@BanuACnbar,group,tribes
بني مرة,@BanuMurra,group,tribes
بنو مرة,@BanuMurra,group,tribes
بني ساعدة,@BanuSaCida,group,tribes
بنو ساعدة,@BanuSaCida,group,tribes
أولاد,@descendents,group,collective nouns
ولد,@descendents,group,collective nouns
العداوة,@enemies,group,collective nouns
الأعداء,@enemies,group,collective nouns
عداوت,@enemies,group,collective nouns
المشركين,@polytheists,group,collective nouns
المشركون,@polytheists,group,collective nouns
المهاجرين,@Immigrants,group,collective nouns
المهاجرون,@Immigrants,group,collective nouns
الأنصار,@Helpers,group,collective nouns
منافقي,@Hypocrites,group,collective nouns
أولادها,@descendants,group,collective nouns
أولاده,@descendents,group,collective nouns
ولدا,@descendents,group,collective nouns
أمهم,@origins,group,collective nouns
أمهاتهم,@origins,group,collective nouns
للمهاجرين,@Immigrants,group,collective nouns
المستهزءون,@Mockers,group,collective nouns
المستهزءين,@Mockers,group,collective nouns
المنافقين ,@Hypocrites,group,collective nouns
المنافقون ,@Hypocrites,group,collective nouns
العدوة,@enemies,group,collective nouns
البدريين,@WitnessesBadr,group,collective nouns
مهاجرة,@Immigrants,group,collective nouns
مهاجرات,@Immigrants,group,collective nouns
شهداء,@martyrs,group,collective nouns
الفيل,@theElephant,event,major event
الهجرة الأولى,@MigrationAbyssinia,event,major event
الحج,@Hajj,event,major event
الحمس,@Hums,event,major event
الصحيفة,@Boycott,event,major event
المعراج,@MiCraj,event,major event
الأذان,@CallToPrayer,event,major event
بدر الكبرى,@BadrBattle,event,major event
يوم بدر,@BadrBattle,event,major event
غزوة أحد,@UhudBattle,event,major event
يوم أحد,@UhudBattle,event,major event
غزوة الخندق,@TrenchBattle,event,major event
يوم الخندق,@TrenchBattle,event,major event
الحديبية,@HudaybiyyaTreaty,event,major event
يوم خيبر,@KhaybarExpedition,event,major event
المسير إلى خيبر,@KhaybarExpedition,event,major event
غزوة مؤتة,@MutaRaid,event,major event
فتح مكة,@MeccaSiege,event,major event
غزوة الطائف,@TaifRaid,event,major event
يوم الطائف,@TaifRaid,event,major event
غزوة تبوك,@TabukRaid,event,major event
سقيفة,@Saqifa,event,major event
للصحيفة,@Boycott,event,major event
يوم بني قريظة,@BanuQurayzaRaid,event,major event
أمر الخندق,@TrenchBattle,event,major event
أمر خيبر,@KhaybarExpedition,event,major event
