Content.entity,Content.tag,Content.category,Content.subcategory
آدم,@AdamProphet,person,Prophet
إسماعيل,@IsmaCilProphet,person,Prophet
إبراهيم,@AbrahamProphet,person,Prophet
موسى,@MosesProphet,person,Prophet
عيسى,@JesusProphet,person,Prophet
نوح,@NoahProphet,person,Prophet
حواء,@Eve,person,Prophet
ابراهيم,@AbrahamProphet,person,Prophet
قابيل بن آدم,@Cain,person,Prophet
هابيل,@Abel,person,Prophet
شيثا,@Seth,person,Prophet
شيث,@Seth,person,Prophet
داود,@DavidProphet,person,Prophet
خنوخ,@Enoch,person,Prophet
يرد,@Jared,person,Prophet
يارد,@Jared,person,Prophet
لمك,@Lamech,person,Prophet
سام,@Shem,person,Prophet
لسام,@Shem,person,Prophet
حام,@Ham,person,Prophet
لجام,@Ham,person,Prophet
يافث,@Japheth,person,Prophet
جم الشيذ,@Jemshed,person,Prophet
جم,@Jemshed,person,Prophet
يوسف,@Joseph,person,Prophet
سليمان,@Solomon,person,Prophet
هود,@HudProphet,person,Prophet
صالح,@SalihProphet,person,Prophet
لوط,@LotProphet,person,Prophet
لوطا,@LotProphet,person,Prophet
سارة,@Sarah,person,Prophet
اسماعيل,@IshmaCilProphet,person,Prophet
إسحاق,@IsaacProphet,person,Prophet
يعقوب,@JacobProphet,person,Prophet
امرأة لوط,@WifeofLot,person,Prophet
شعيب,@ShuCaybProphet,person,Prophet
يوسف,@Joseph,person,Prophet
بنيامين,@Benjamin,person,Prophet
أيوب,@Job,person,Prophet
الخضر,@Khidr,person,Prophet
هارون,@Aaron,person,Prophet
يوشع,@JoshuaProphet,person,Prophet
كالب,@CalebIbnJepunneh,person,Prophet
حزقيل,@EzekielProphet,person,Prophet
هزقيل,@EzekielProphet,person,Prophet
الياس,@ElijahProphet,person,Prophet
إلياس بن ياسين,@ElijahProphet,person,Prophet
إلياس,@ElijahProphet,person,Prophet
اليسع,@Elisha,person,Prophet
شمويل,@SamuelProphet,person,Prophet
أشمويل,@SamuelProphet,person,Prophet
طالوت,@Saul,person,Prophet
زكرياء,@Zechariah,person,Prophet
يحيى,@JohntheBaptist,person,Prophet
شعيا,@Isaiah,person,Prophet
إرميا,@JeremiahProphet,person,Prophet
دانيال,@DanielProphet,person,Prophet
يوسف,@Joseph,person,Prophet
ابن هشام,@IbnHishamAuthor,person,Other person
معد,@MaCd,person,Other person
عدنان,@Cadnan,person,Other person
عك,@Cak,person,Other person
قضاعة,@QudaCa,person,Other person
قنص بن معد,@QunusIbnMaCd,person,Other person
النعمان بن المنذر,@NuCmanIbnMundhir,person,Other person
النعمان,@NuCmanIbnMundhir,person,Other person
لخم بن عدي,@LakhmIbnCadi,person,Other person
عمرو بن عامر,@CamrIbnCamir,person,Other person
ربيعة بن نصر,@RabiCIbnNasr,person,Other person
سطيح,@SatihSoothsayer,person,Other person
أبرهة,@Abraha,person,Other person
شق,@ShiqqSoothsayer,person,Other person
بجيلة,@Bajila,person,Other person
تبان,@Tiban,person,Other person
عمرو بن طلة,@CAmrIbnTalla,person,Other person
حسان بن تبان,@HassanIbnTiban,person,Other person
عمرو,@CAmrIbnTiban,person,Other person
ذي نواس,@DhuNuwas,person,Other person
ذي شناتر,@DhuShanatir,person,Other person
عبد الله بن الثامر,@CabdallahIbnalThamir,person,Other person
ابن الثامر,@CabdallahIbnalThamir,person,Other person
قيصر,@EmperorRome,person,Other person
أرياط,@Aryat,person,Other person
النجاشي,@Negus,person,Other person
نفيل,@NufaylIbnHabib,person,Other person
عبد المطلب,@AbdalMuttalib,person,Other person
حناطة,@Hunata,person,Other person
ذو نفر,@DhuNafr,person,Other person
أنيس,@Unays,person,Other person
خويلد,@KhuwaylidIbnWathila,person,Other person
الأسود بن مقصود,@al-AswadIbnMafsud,person,Other person
سيف بن ذي يزن,@SayfIbnDhuYazan,person,Other person
ابن ذي يزن,@SayfIbnDhuYazan,person,Other person
وهرز,@Wahriz,person,Other person
كسرى,@ChosroesShah,person,Other person
نزار بن معد,@NizarIbnMaCd,person,Other person
مضر,@Mudar,person,Other person
أنمار,@Anmar,person,Other person
إلياس,@Ilyas,person,Other person
عمرو بن لحي,@CamrIbnLuhayy,person,Other person
عبد مناف,@AbdManaf,person,Other person
هاشم,@Hashim,person,Other person
عوف بن لؤي,@CaufIbnLuay,person,Other person
قصي بن كلاب,@QusayyIbnKilab,person,Other person
عبد شمس,@AbdShams,person,Other person
عبد الله بن عبد المطلب,@AbdAllahIbnMutallib,person,Other person
حليمة,@Halima,person,Other person
آمنة,@AminaMotherProphet,person,Other person
العباس,@CabbasIbnCabdMutallib,person,Other person
أبي طالب,@AbuTalib,person,Other person
أبو طالب,@AbuTalib,person,Other person
بحيرى,@BahiraMonk,person,Other person
خديجة,@KhadijaWife,person,Other person
جبريل,@GabrielAngel,person,Other person
علي بن أبي طالب,@CaliIbnAbiTalib,person,Other person
علي,@CaliIbnAbiTalib,person,Other person
أبي بكر,@AbuBakr,person,Other person
أبو بكر,@AbuBakr,person,Other person
عثمان,@CuthmanIbnAffan,person,Other person
الزبير ,@ZubayrIbnAwwam,person,Other person
طلحة,@TalhaIbnUbayullah,person,Other person
الوليد بن المغيرة,@WalidIbnMughira,person,Other person
حمزة,@HamzaIbnCabdMutallib,person,Other person
أبي جهل,@AbuJahl,person,Other person
أبو جهل,@AbuJahl,person,Other person
عتبة بن ربيعة,@CutbaIbnRabiCa,person,Other person
أبو سفيان,@AbuSufyan,person,Other person
أبي سفيان,@AbuSufyan,person,Other person
الأخنس,@AkhnasIbnShariq,person,Other person
بلال,@Bilal,person,Other person
ابن عباس,@CabdAllahIbnCabbas,person,Other person
عمر بن الخطاب,@CumarIbnKhattab,person,Other person
عمر,@CumarIbnKhattab,person,Other person
أسعد بن زرارة,@AsaCdIbnZurara,person,Other person
ذي القرنين,@DhuQarnayn,person,Other person
ذو القرنين,@DhuQarnayn,person,Other person
ذا القرنين,@DhuQarnayn,person,Other person
زكريا,@ZakariaProphet,person,Other person
مريم,@Maryam,person,Other person
عامر,@Camir,person,Other person
عائشة,@CaishaProphetWife,person,Other person
عبيدة بن الحارث,@UbaydaIbnHarith,person,Other person
أبي سفيان,@AbuSufyan,person,Other person
أبو سفيان,@AbuSufyan,person,Other person
سهيل بن عمرو,@SuhaylIbnCamr,person,Other person
أبي العاص بن الربيع,@AbuCasIbnRabiCa,person,Other person
أبو العاص بن الربيع,@AbuCasIbnRabiCa,person,Other person
أبي العاص,@AbuCasIbnRabiCa,person,Other person
أبو العاص,@AbuCasIbnRabiCa,person,Other person
زينب,@ZaynabBintMuhammad,person,Other person
زيد بن حارثة,@ZaydIbnHaritha,person,Other person
هند,@Hind,person,Other person
عمرو بن العاص ,@CamrIbnCas,person,Other person
خالد بن الوليد,@KhalidIbnWalid,person,Other person
أبي جندل,@AbuJandal,person,Other person
أبو جندل,@AbuJandal,person,Other person
عبد الله بن أمية,@AbdullahIbnUmayya,person,Other person
مسيلمة,@Musaylima,person,Other person
هاجر,@Hajar,person,Other person
خندف,@Khindif,person,Other person
قصي بن كلاب,@QusayyIbnKilab,person,Other person
قصي,@QusayyIbnKilab,person,Other person
عبد الله,@CabdAllahIbnMutallib,person,Other person
عبد الله بن عبد المطلب,@CabdAllahIbnMutallib,person,Other person
أبا طالب,@AbuTalib,person,Other person
أبا بكر,@AbuBakr,person,Other person
عتبة,@CutbaIbnRabiCa,person,Other person
أبا جهل,@AbuJahl,person,Other person
ملوك الروم,@EmperorRome,person,Other person
للعباس,@CabbasIbnCabdMutallib,person,Other person
عمرو,@CamrIbnCas,person,Other person
خالد,@KhalidIbnWalid,person,Other person
سودة,@SawdaWife,person,Other person
زينب بنت جحش,@ZaynadBintJahshWife,person,Other person
أم سلمة,@UmSalamaWife,person,Other person
حفصة,@HafsaWife,person,Other person
أم حبيبة,@UmHabibaWife,person,Other person
جويرية,@JuwayriyaWife,person,Other person
صفية,@SafiyyaWife,person,Other person
ميمونة,@MaymunaWife,person,Other person
زينب بنت خزيمة,@ZaynadBintKhuzaymaWife,person,Other person
جيومرت,@Jayumart,person,Other person
يزدجرد بن شهريار,@YazdjardIbnShahriyar,person,Other person
عبد الحارث,@AbdHarith,person,Other person
أوشهنج,@Oshahanj,person,Other person
مهلائيل,@Mahalel,person,Other person
بيوراسب,@BewarasbDahhak,person,Other person
الازدهاق,@BewarasbDahhak,person,Other person
الضحاك,@BewarasbDahhak,person,Other person
طهمورث,@Tahmurath,person,Other person
متوشلخ,@Methuselah,person,Other person
الإسكندر,@Alexander,person,Other person
نمرود,@Nimrod,person,Other person
أفريدون,@Afaridhun,person,Other person
معاوية بن بكر,@MuaCwiyaIbnBakr,person,Other person
بختنصر,@Nebuchadnezzar,person,Other person
منوشهر,@Manushihr,person,Other person
امرؤ القيس,@ImruQays,person,Other person
قابوس,@QabusPharoah,person,Other person
السامري,@Samiri,person,Other person
قارون,@KorahIbnIzharIbnKohath,person,Other person
زو,@Zaw,person,Other person
كيقباذ,@Kayqubadh,person,Other person
جالوت,@Goliath,person,Other person
بلقيس,@Bilqis,person,Other person
كيقاوس,@Kayqawus,person,Other person
فراسياب,@Frasiyat,person,Other person
كيخسرو,@Kaykhusraw,person,Other person
أسا بن أبيا,@AsaIbnAbija,person,Other person
زرح,@Zerah,person,Other person
سنحاريب,@Sennacherib,person,Other person
لهراسب,@Luhrasb,person,Other person
بشتاسب,@Bishtasb,person,Other person
داريوش,@Darius,person,Other person
زرادشت,@Zoroaster,person,Other person
برخيا,@BerechiahProphet,person,Other person
بهمن,@BahmanIbnIsfandiyar,person,Other person
أردشير بهمن,@ArdashirBahman,person,Other person
ساسان,@Sasan,person,Other person
دارا الأكبر,@Darius,person,Other person
كيرش,@Cyrus,person,Other person
دارا الأصغر,@DariusYounger,person,Other person
قسطنطين,@ConstantineEmperor,person,Other person
هيردوس,@Herod,person,Other person
أردشير بن بابك,@ArdashirIbnBabik,person,Other person
عمرو بن ظرب,@CAmrIbnZarib,person,Other person
الزباء,@Zabba,person,Other person
طسم,@Tasm,person,Other person
جديس,@Jadis,person,Other person
إبليس,@IblisSatan,person,Supernatural
الشياطين,@IblisSatan,person,Supernatural
شيطانا,@IblisSatan,person,Supernatural
شيطان,@IblisSatan,person,Supernatural
جبرئيل,@GabrielAngel,person,Supernatural
ميكائيل,@MichaelAngel,person,Supernatural
ملك الموت,@AngelofDeath,person,Supernatural
خزاعة,@BanuKhuzaCa,group,tribes
كنانة,@BanuKinana,group,tribes
قريش,@Quraysh,group,tribes
بني هاشم,@BanuHashim,group,tribes
بنو هاشم,@BanuHashim,group,tribes
بني أمية,@BanuUmayya,group,tribes
بنو أمية,@BanuUmayya,group,tribes
بني أسد,@BanuAsad,group,tribes
بنو أسد,@BanuAsad,group,tribes
بنو عبد شمس,@BanuCabdShams,group,tribes
بني عبد شمس,@BanuCabdShams,group,tribes
بني نوفل,@BanuNaufal,group,tribes
بنو نوفل,@BanuNaufal,group,tribes
بني عبد بن قصي,@BanuCabdIbnQusayy,group,tribes
بنو عبد بن قصي,@BanuCabdIbnQusayy,group,tribes
بني عبد الدار بن قصي,@BanuCabdDarIbnQusayy,group,tribes
بنو عبد الدار بن قصي,@BanuCabdDarIbnQusayy,group,tribes
بني عبد الدار,@BanuCabdDarIbnQusayy,group,tribes
بنو عبد الدار,@BanuCabdDarIbnQusayy,group,tribes
بني زهرة,@BanuZuhra,group,tribes
بنو زهرة,@BanuZuhra,group,tribes
 بني هذيل,@BanuHudayl,group,tribes
 بنو هذيل,@BanuHudayl,group,tribes
بني تيم,@BanuTaym,group,tribes
بنو تيم,@BanuTaym,group,tribes
بني مخزوم,@BanuMakhzum,group,tribes
بنو مخزوم,@BanuMakhzum,group,tribes
بني جمح,@BanuJumah,group,tribes
بنو جمح,@BanuJumah,group,tribes
بني سهم,@BanuSahm,group,tribes
بنو سهم,@BanuSahm,group,tribes
سهم,@BanuSahm,group,tribes
بني عدي,@BanuCadiyy,group,tribes
بنو عدي,@BanuCadiyy,group,tribes
بني عامر,@BanuCamir,group,tribes
بنو عامر,@BanuCamir,group,tribes
بني الحارث,@BanuHarith,group,tribes
بنو الحارث,@BanuHarith,group,tribes
ثقيف,@BanuThaqif,group,tribes
بني كلب,@BanuKalb,group,tribes
بنو كلب,@BanuKalb,group,tribes
بني حنيفة,@BanuHanifa,group,tribes
بنو حنيفة,@BanuHanifa,group,tribes
بني النجار,@BanuNajjar,group,tribes
بنو النجار,@BanuNajjar,group,tribes
بني زريق,@BanuZurayq,group,tribes
بنو زريق,@BanuZurayq,group,tribes
بني عوف,@BanuCauf,group,tribes
بنو عوف,@BanuCauf,group,tribes
بني سالم,@BanuSalim,group,tribes
بنو سالم,@BanuSalim,group,tribes
بني سلمة,@BanuSalima,group,tribes
بنو سلمة,@BanuSalima,group,tribes
بني سواد,@BanuSawad,group,tribes
بنو سواد,@BanuSawad,group,tribes
الأوس,@BanuAus,group,tribes
الأوس,@BanuAus,group,tribes
بني عمرو,@BanuCamr,group,tribes
بنو عمرو,@BanuCamr,group,tribes
بني عبد الأشهل,@BanuCabdAshhal,group,tribes
بنو عبد الأشهل,@BanuCabdAshhal,group,tribes
بني حارثة بن الحارث,@BanuHarithIbnHarith,group,tribes
بنو حارثة بن الحارث,@BanuHarithIbnHarith,group,tribes
بني  عمرو بن عوف,@BanuCamrIbnCauf,group,tribes
بنو  عمرو بن عوف,@BanuCamrIbnCauf,group,tribes
بني عمرو بن مبذول,@BanuCamrIbnMabdhul,group,tribes
بنو عمرو بن مبذول,@BanuCamrIbnMabdhul,group,tribes
 بني عمرو بن مالك,@BanuCamrIbnMalik,group,tribes
 بنو عمرو بن مالك,@BanuCamrIbnMalik,group,tribes
بني مازن بن النجار,@BanuMazimIbnNajjar,group,tribes
بنو مازن بن النجار,@BanuMazimIbnNajjar,group,tribes
بني بياضة ,@BanuBayadaIbnCamir,group,tribes
بنو بياضة,@BanuBayadaIbnCamir,group,tribes
بني زريق,@BanuZurayq,group,tribes
بنو زريق,@BanuZurayq,group,tribes
بني غنم بن سواد,@BanuGhanamIbnSawad,group,tribes
بنو غنم بن سواد,@BanuGhanamIbnSawad,group,tribes
بني نابي بن عمرو,@BanuNabiIbnCamr,group,tribes
بنو نابي بن عمرو,@BanuNabiIbnCamr,group,tribes
بني حرام بن كعب,@BanuHaramIbnKaCb,group,tribes
بنو حرام بن كعب,@BanuHaramIbnKaCb,group,tribes
بني عوف بن الخزرج,@BanuCaufIbnKhazraj,group,tribes
بنو عوف بن الخزرج,@BanuCaufIbnKhazraj,group,tribes
بني ساعدة,@BanuSaCidaIbnKaCb,group,tribes
بنو ساعدة,@BanuSaCidaIbnKaCb,group,tribes
بني مازن بن النجار,@BanuMazinIbnNajjar,group,tribes
بنو مازن بن النجار,@BanuMazinIbnNajjar,group,tribes
بني سالم بن غنم,@BanuSalimIbnGhanm,group,tribes
بنو سالم بن غنم,@BanuSalimIbnGhanm,group,tribes
الخزرج بن حارثة,@BanuKhazrajIbnHaritha,group,tribes
بلحارث بن الخزرج,@BanuHarithIbnKhazraj,group,tribes
بني سلمة بن سعد,@BanuSalamaIbnSacd,group,tribes
بنو سلمة بن سعد,@BanuSalamaIbnSacd,group,tribes
بني سواد بن غنم,@BanuSawadIbnGhanm,group,tribes
بنو سواد بن غنم,@BanuSawadIbnGhanm,group,tribes
بني النضير,@BanuNadir,group,tribes
بنو النضير,@BanuNadir,group,tribes
بني ثعلبة,@BanuThaClaba,group,tribes
بنو ثعلبة,@BanuThaClaba,group,tribes
بني قينقاع,@BanuQaynuqaC,group,tribes
بنو قينقاع,@BanuQaynuqaC,group,tribes
بني قريظة,@BanuQurayza,group,tribes
بنو قريظة,@BanuQurayza,group,tribes
بني زريق,@BanuZurayq,group,tribes
بنو زريق,@BanuZurayq,group,tribes
بني حارثة,@BanuHaritha,group,tribes
بنو حارثة,@BanuHaritha,group,tribes
 بنى حبيب,@BanuHubayb,group,tribes
 بنو حبيب,@BanuHubayb,group,tribes
بني ضبيعة,@BanuDubayCa,group,tribes
بنو ضبيعة,@BanuDubayCa,group,tribes
بني لوذان,@BanuLaudhan,group,tribes
بنو لوذان,@BanuLaudhan,group,tribes
بني عبيد,@BanuCubayd,group,tribes
بنو عبيد,@BanuCubayd,group,tribes
بني النبيت,@BanuNabit,group,tribes
بنو النبيت,@BanuNabit,group,tribes
بني ظفر,@BanuZafar,group,tribes
بنو ظفر,@BanuZafar,group,tribes
بني عبد الأشهل,@BanuCabdAshhal,group,tribes
بنو عبد الأشهل,@BanuCabdAshhal,group,tribes
بني جشم,@BanuJusham,group,tribes
بنو جشم,@BanuJusham,group,tribes
بني ضمرة,@BanuDamra,group,tribes
بنو ضمرة,@BanuDamra,group,tribes
بني كبير,@BanuKabir,group,tribes
بنو كبير,@BanuKabir,group,tribes
بني عبيد بن كعب,@BanuCubaydIbnKaCb,group,tribes
بنو عبيد بن كعب,@BanuCubaydIbnKaCb,group,tribes
بني عبد بن رزاح,@BanuCabdIbnRizah,group,tribes
بنو عبد بن رزاح,@BanuCabdIbnRizah,group,tribes
بني جحجبى,@BanuJahjaba,group,tribes
بنو جحجبى,@BanuJahjaba,group,tribes
بني غنم,@BanuGhanm,group,tribes
بنو غنم,@BanuGhanm,group,tribes
بني معاوية,@BanuMuCawiya,group,tribes
بنو معاوية,@BanuMuCawiya,group,tribes
بني امرئ القيس,@BanuImruQays,group,tribes
بنو امرئ القيس,@BanuImruQays,group,tribes
بني زيد,@BanuZayd,group,tribes
بنو زيد,@BanuZayd,group,tribes
بني أحمر,@BanuAhmar,group,tribes
بنو أحمر,@BanuAhmar,group,tribes
بني جشم,@BanuJusham,group,tribes
بنو جشم,@BanuJusham,group,tribes
بني جدارة,@BanuJidara,group,tribes
بنو جدارة,@BanuJidara,group,tribes
بني الأبجر,@BanuAbjar,group,tribes
بنو الأبجر,@BanuAbjar,group,tribes
بني جزء,@BanuJaz,group,tribes
بنو جزء,@BanuJaz,group,tribes
بني أصرم,@BanuAsram,group,tribes
بنو أصرم,@BanuAsram,group,tribes
بني دعد,@BanuDaCd,group,tribes
بنو دعد,@BanuDaCd,group,tribes
بني البدي,@BanuBadiy,group,tribes
بنو البدي,@BanuBadiy,group,tribes
 بني طريف,@BanuTarif,group,tribes
 بنو طريف,@BanuTarif,group,tribes
بني النعمان,@BanuNuCman,group,tribes
بنو النعمان,@BanuNuCman,group,tribes
بني عدي بن نابي,@BanuCadiyIbnNabi,group,tribes
بنو عدي بن نابي,@BanuCadiyIbnNabi,group,tribes
بني خالد,@BanuKhalid,group,tribes
بنو خالد,@BanuKhalid,group,tribes
بني خلدة,@BanuKhalada,group,tribes
بنو خلدة,@BanuKhalada,group,tribes
بني العجلان,@BanuCajlan,group,tribes
بنو العجلان,@BanuCajlan,group,tribes
بني عسيرة,@BanuCusayra,group,tribes
بنو عسيرة,@BanuCusayra,group,tribes
بني عبيد بن ثعلبة,@BanuCubaydIbnThaClaba,group,tribes
بنو عبيد بن ثعلبة,@BanuCubaydIbnThaClaba,group,tribes
بني عائذ,@BanuCaidh,group,tribes
بنو عائذ,@BanuCaidh,group,tribes
بني عامر بن مالك,@BanuCamirIbnMalik,group,tribes
بنو عامر بن مالك,@BanuCamirIbnMalik,group,tribes
بني عدي بن عمرو,@BanuCadiyIbnCamr,group,tribes
بنو عدي بن عمرو,@BanuCadiyIbnCamr,group,tribes
بني عدي بن النجار,@BanuCadiyIbnNajjar,group,tribes
بنو عدي بن النجار,@BanuCadiyIbnNajjar,group,tribes
بني حرام بن جندب,@BanuHaramIbnJundub,group,tribes
بنو حرام بن جندب,@BanuHaramIbnJundub,group,tribes
بني خنساء بن مبذول,@BanuKhansaIbnMabdhul,group,tribes
بنو خنساء بن مبذول,@BanuKhansaIbnMabdhul,group,tribes
بني ثعلبة بن مازن,@BanuThaClabaIbnMazin,group,tribes
بنو ثعلبة بن مازن,@BanuThaClabaIbnMazin,group,tribes
 بني دينار,@BanuDinarIbnNajjar,group,tribes
 بنو دينار,@BanuDinarIbnNajjar,group,tribes
بني الحارث بن فهر,@BanuHarithIbnFihr,group,tribes
بنو الحارث بن فهر,@BanuHarithIbnFihr,group,tribes
بني الحارث بن الخزرج,@BanuHarithIbnKhazraj,group,tribes
بنو الحارث بن الخزرج,@BanuHarithIbnKhazraj,group,tribes
بني تميم بن مرة,@BanuTaymIbnMurra,group,tribes
بني سليم,@BanuSulaym,group,tribes
بنو سليم,@BanuSulaym,group,tribes
راتج,@AhlRatij,group,tribes
بني مبذول,@BanuMabdhul,group,tribes
بنو مبذول,@BanuMabdhul,group,tribes
بني مازن,@BanuMazin,group,tribes
بنو مازن,@BanuMazin,group,tribes
بني الحبلى,@BanuHubla,group,tribes
بنو الحبلى,@BanuHubla,group,tribes
بني خطمة,@BanuKhutma,group,tribes
بنو خطمة,@BanuKhutma,group,tribes
غطفان,@BanuGhatafan,group,tribes
بني هدل,@BanuHadl,group,tribes
بنو هدل,@BanuHadl,group,tribes
بني لحيان,@BanuLihyan,group,tribes
بنو لحيان,@BanuLihyan,group,tribes
بني المصطلق,@BanuMustaliq,group,tribes
بنو المصطلق,@BanuMustaliq,group,tribes
بكر,@BanuBakr,group,tribes
بني جذيمة,@BanuJadhima,group,tribes
بنو جذيمة,@BanuJadhima,group,tribes
قضاعة,@BanuQudaCa,group,tribes
بني سعد,@BanuSaCd,group,tribes
بنو سعد,@BanuSaCd,group,tribes
بني عبد مناف,@BanuCabdManaf,group,tribes
بنو عبد مناف,@BanuCabdManaf,group,tribes
الخزرج,@BanuKhazraj,group,tribes
بني قيس بن ثعلبة,@BanuQaysIbnThaCliba,group,tribes
بنو قيس بن ثعلبة,@BanuQaysIbnThaCliba,group,tribes
مخزوم,@BanuMakhzum,group,tribes
بني عمرو بن عوف,@BanuCamrIbnCauf,group,tribes
بنو عمرو بن عوف,@BanuCamrIbnCauf,group,tribes
بني جحش,@BanuJahsh,group,tribes
بنو جحش,@BanuJahsh,group,tribes
بني عمرو,@BanuCamrIbnCauf,group,tribes
بنو عمرو,@BanuCamrIbnCauf,group,tribes
بني عوف,@BanuCaufIbnKhazraj,group,tribes
بنو عوف,@BanuCaufIbnKhazraj,group,tribes
بني امرئ القيس,@BanuImruQays,group,tribes
بنو امرئ القيس,@BanuImruQays,group,tribes
بني خناس,@BanuKhunas,group,tribes
بنو خناس,@BanuKhunas,group,tribes
بني حبيب,@BanuHabib,group,tribes
بنو حبيب,@BanuHabib,group,tribes
بني عبد الدار,@BanuCabdDar,group,tribes
بنو عبد الدار,@BanuCabdDar,group,tribes
بني عامر,@BanuCamirIbnLuayy,group,tribes
بنو عامر,@BanuCamirIbnLuayy,group,tribes
بني المطلب,@BanuMuttalib,group,tribes
بنو المطلب,@BanuMuttalib,group,tribes
بني السلم,@BanuSalm,group,tribes
بنو السلم,@BanuSalm,group,tribes
بني عوف,@BanuCaufIbnKhazraj,group,tribes
بنو عوف,@BanuCaufIbnKhazraj,group,tribes
بني الخزرج,@BanuKhazraj,group,tribes
بنو الخزرج,@BanuKhazraj,group,tribes
بني الحارث,@BanuHarithIbnFihr,group,tribes
بنو الحارث,@BanuHarithIbnFihr,group,tribes
بني مالك,@BanuMalik,group,tribes
بنو مالك,@BanuMalik,group,tribes
بني رئاب,@BanuRaab,group,tribes
بنو رئاب,@BanuRaab,group,tribes
هوازن,@Hawazin,group,tribes
بني تميم,@BanuTaym,group,tribes
بنو تميم,@BanuTaym,group,tribes
بني زبيد,@BanuZubayd,group,tribes
بنو زبيد,@BanuZubayd,group,tribes
كندة,@BanuKinda,group,tribes
أهل جرش,@JurashPeople,group,tribes
بني الحارث بن كعب,@BanuHarithIbnKaCb,group,tribes
بنو الحارث بن كعب,@BanuHarithIbnKaCb,group,tribes
بني الملوح,@BanuMulawwah,group,tribes
بنو الملوح,@BanuMulawwah,group,tribes
بني فزارة,@BanuFazara,group,tribes
بنو فزارة,@BanuFazara,group,tribes
بني العنبر,@BanuACnbar,group,tribes
بنو العنبر,@BanuACnbar,group,tribes
بني مرة,@BanuMurra,group,tribes
بنو مرة,@BanuMurra,group,tribes
بني ساعدة,@BanuSaCida,group,tribes
بنو ساعدة,@BanuSaCida,group,tribes
بنو آدم,@ChildrenofAdam,group,tribes
بني آدم,@ChildrenofAdam,group,tribes
